Player Name,Year,Salary
Shawn Marion,2002,1778160.0
Paul Pierce,2002,2051271.0
Jason Terry,2002,1689360.0
Bonzi Wells,2002,2028239.0
Trajan Langdon,2002,1604880.0
Aleksandar Radojevic,2002,1524600.0
Keon Clark,2002,1971163.0
Corey Maggette,2002,1448400.0
Michael Dickerson,2002,1940702.0
Matt Harpring,2002,1908401.0
Eldridge Recasner,2002,1300000.0
Metta World Peace,2002,1241760.0
Cal Bowdler,2002,1179720.0
James Posey,2002,1120680.0
Pat Garrity,2002,1569691.0
Quincy Lewis,2002,1070280.0
Roshown McLeod,2002,1509001.0
Dion Glover,2002,1027440.0
Ricky Davis,2002,1496400.0
Greg Foster,2002,1764247.0
Jeff Foster,2002,986400.0
Brian Skinner,2002,1483461.0
Kenny Thomas,2002,946920.0
Devean George,2002,834250.0
Al Harrington,2002,1436982.0
Tim James,2002,943252.0
Jumaine Jones,2002,786600.0
Scott Padgett,2002,781680.0
Rafer Alston,2002,625000.0
Hakeem Olajuwon,2002,5061539.0
David Robinson,2002,9500000.0
Dikembe Mutombo,2002,14315790.0
Patrick Ewing,2002,2118420.0
Jayson Williams,2002,15125000.0
Tim Hardaway,2002,3360390.0
Chris Webber,2002,12750000.0
John Stockton,2002,7000000.0
Reggie Miller,2002,12045075.0
Zydrunas Ilgauskas,2002,11250000.0
Kobe Bryant,2002,11250000.0
Shareef Abdur-Rahim,2002,11250000.0
Vin Baker,2002,11250000.0
Allen Iverson,2002,11250000.0
Anfernee Hardaway,2002,11250000.0
Latrell Sprewell,2002,11250000.0
Mitch Richmond,2002,11000000.0
Rod Strickland,2002,4750000.0
Jalen Rose,2002,10865250.0
Grant Hill,2002,10865250.0
Tracy McGrady,2002,10865250.0
Tim Duncan,2002,10865250.0
Keith Van Horn,2002,10865250.0
Allan Houston,2002,12750000.0
Eddie Jones,2002,10091250.0
Brian Grant,2002,9925076.0
Tim Thomas,2002,9675000.0
Michael Finley,2002,10625000.0
Shawn Bradley,2002,4500000.0
Danny Manning,2002,1500000.0
Avery Johnson,2002,4538000.0
Glen Rice,2002,8800000.0
Kendall Gill,2002,1538000.0
Christian Laettner,2002,4500000.0
Horace Grant,2002,2419580.0
Toni Kukoc,2002,7906783.0
Bryant Stith,2002,2000000.0
Charles Oakley,2002,6545000.0
PJ Brown,2002,6404800.0
Chris Gatling,2002,2504227.0
Anthony Mason,2002,4538000.0
Ron Mercer,2002,6750000.0
Antonio Davis,2002,11000000.0
Kelvin Cato,2002,6048000.0
Austin Croshere,2002,6310000.0
Bobby Phills,2002,5220000.0
Tariq Abdul-Wahad,2002,5062500.0
Bo Outlaw,2002,6000000.0
Brevin Knight,2002,4500000.0
Howard Eisley,2002,4781250.0
Dan Majerle,2002,1000000.0
Brad Miller,2002,4400000.0
Ben Wallace,2002,4700000.0
Danny Fortson,2002,4649534.0
Corliss Williamson,2002,4000000.0
Jahidi White,2002,4413375.0
Cuttino Mobley,2002,4413375.0
Rashard Lewis,2002,4413375.0
Scot Pollard,2002,4344187.0
Voshon Lenard,2002,4252435.0
Nick Anderson,2002,5401906.0
Dana Barros,2002,1600000.0
Kurt Thomas,2002,4413375.0
Adonal Foyle,2002,4400000.0
Mark Jackson,2002,3860000.0
Kenyon Martin,2002,3801960.0
Rex Chapman,2002,3850000.0
Greg Anthony,2002,3000000.0
Lamond Murray,2002,3750000.0
Jud Buechler,2002,3600000.0
Tony Battie,2002,3600000.0
Don MacLean,2002,965850.0
Stromile Swift,2002,3401640.0
