,Player Code,Draft Number Picked,Draft Year,Player Name,College Name,Seasons in NBA
330,knoxke01,9,2018,Kevin Knox,Kentucky,2.0
331,bridgmi01,10,2018,Mikal Bridges,Villanova,2.0
332,gilgesh01,11,2018,Shai Gilgeous-Alexander,Kentucky,2.0
333,bridgmi02,12,2018,Miles Bridges,Michigan State,2.0
334,robinje01,13,2018,Jerome Robinson,Boston College,2.0
335,portemi01,14,2018,Michael Porter,Missouri,1.0
336,willizi01,1,2019,Zion Williamson,Duke,1.0
337,moranja01,2,2019,Ja Morant,Murray State,1.0
338,barrerj01,3,2019,RJ Barrett,Duke,1.0
339,huntede01,4,2019,De'Andre Hunter,Virginia,1.0
340,garlada01,5,2019,Darius Garland,Vanderbilt,1.0
341,culveja01,6,2019,Jarrett Culver,Texas Tech,1.0
342,whiteco01,7,2019,Coby White,UNC,1.0
343,hayesja02,8,2019,Jaxson Hayes,Texas,1.0
344,hachiru01,9,2019,Rui Hachimura,Gonzaga,1.0
345,reddica01,10,2019,Cam Reddish,Duke,1.0
346,johnsca02,11,2019,Cameron Johnson,UNC,1.0
347,washipj01,12,2019,PJ Washington,Kentucky,1.0
348,herroty01,13,2019,Tyler Herro,Kentucky,1.0
349,langfro01,14,2019,Romeo Langford,Indiana,1.0
350,edwaran01,1,2020,Anthony Edwards,Georgia,
351,wisemja01,2,2020,James Wiseman,Memphis,
352,ballla01,3,2020,LaMelo Ball,,
353,willipa01,4,2020,Patrick Williams,Florida State,
354,okorois01,5,2020,Isaac Okoro,Auburn,
355,okongon01,6,2020,Onyeka Okongwu,USC,
356,hayeski01,7,2020,Killian Hayes,,
357,toppiob01,8,2020,Obi Toppin,Dayton,
358,avdijde01,9,2020,Deni Avdija,,
359,smithja04,10,2020,Jalen Smith,Maryland,
360,vassede01,11,2020,Devin Vassell,Florida State,
361,halibty01,12,2020,Tyrese Haliburton,Iowa State,
362,lewiski01,13,2020,Kira Lewis,Alabama,
363,nesmiaa01,14,2020,Aaron Nesmith,Vanderbilt,
