,Player Name,Seasons in NBA,First Season Played,Last Season Played
1166,Meyers Leonard,9,2013,2021
1167,Jim Les,7,1989,1995
1168,Marcus Liberty,4,1991,1994
1169,DeAndre Liggins,5,2012,2018
1170,Shaun Livingston,14,2005,2019
1171,Scott Lloyd,6,1977,1983
1172,Lonnie Lynn,1,1970,1970
1173,Sam Mack,7,1993,2002
1174,Corey Maggette,14,2000,2013
1175,Renaldo Major,1,2007,2007
1176,Shawn Marion,16,2000,2015
1177,LaRue Martin,4,1973,1976
1178,Marlon Maxey,2,1993,1994
1179,Jason Maxiell,10,2006,2015
1180,Sean May,4,2006,2010
1181,Ken Mayfield,1,1976,1976
1182,Ken McBride,1,1955,1955
1183,Mel McCants,1,1990,1990
1184,Kelly McCarty,1,1999,1999
1185,Amal McCaskill,4,1997,2004
1186,Glenn McDonald,3,1975,1977
1187,Billy McKinney,7,1979,1986
1188,Alfonzo McKinnie,5,2018,2022
1189,Jerel McNeal,1,2015,2015
1190,Paul McPherson,1,2001,2001
1191,Scott Meents,2,1990,1991
1192,Ken Menke,1,1950,1950
1193,Ed Mikan,6,1949,1954
1194,George Mikan,7,1949,1956
1195,Al Miksis,1,1950,1950
1196,Darius Miles,7,2001,2009
1197,Quincy Miller,3,2013,2015
1198,Nazr Mohammed,18,1999,2016
1199,Wayne Molis,2,1967,1968
1200,Matt Mooney,2,2020,2022
1201,Andre Moore,1,1988,1988
1202,Ben Moore,1,2018,2018
1203,Rex Morgan,2,1971,1972
1204,Max Morris,1,1950,1950
1205,George Munroe,2,1947,1948
1206,Jerry Nagel,1,1950,1950
1207,Howard Nathan,1,1996,1996
1208,Tyrone Nesby,4,1999,2002
1209,Carl Nicks,3,1981,1983
1210,Richie Niemiera,2,1949,1950
1211,Ken Norman,10,1988,1997
1212,Zach Norvell,1,2020,2020
1213,Mike Novak,3,1949,1954
1214,Steve Novak,11,2007,2017
1215,Kendrick Nunn,2,2020,2021
1216,Don Ohl,10,1961,1970
1217,Jahlil Okafor,6,2016,2021
1218,Jawann Oldham,10,1981,1991
1219,Brian Oliver,4,1991,1998
1220,Dean Oliver,2,2002,2003
1221,Wally Osterkorn,4,1952,1955
1222,Jannero Pargo,11,2003,2015
1223,Jeremy Pargo,3,2012,2020
1224,Anthony Parker,9,1998,2012
1225,Jabari Parker,8,2015,2022
1226,Sonny Parker,6,1977,1982
1227,Stan Patrick,1,1950,1950
1228,Brandon Paul,1,2018,2018
1229,Alec Peters,1,2018,2018
1230,Roger Phegley,6,1979,1984
1231,Jack Phelan,1,1950,1950
1232,Andy Phillip,11,1948,1958
1233,Gary Phillips,5,1962,1966
1234,Kevin Porter,10,1973,1983
1235,Roger Powell,1,2007,2007
1236,Marlbert Pradd,2,1968,1969
1237,Jacob Pullen,1,2018,2018
1238,Chasson Randle,4,2017,2021
1239,George Ratkovicz,6,1950,1955
1240,Don Rehfeldt,2,1951,1952
1241,John Rennicke,1,1952,1952
1242,Kendall Rhine,2,1968,1969
1243,Quentin Richardson,13,2001,2013
1244,Doc Rivers,13,1984,1996
1245,Flynn Robinson,8,1967,1974
1246,Bill Robinzine,7,1976,1982
1247,Isaiah Roby,3,2020,2022
1248,Derrick Rose,13,2009,2022
1249,Mickey Rottner,2,1947,1948
1250,Joe Ruklick,3,1960,1962
1251,Cazzie Russell,12,1967,1978
1252,Russ Schoene,4,1983,1989
1253,Lee Shaffer,3,1962,1964
1254,Iman Shumpert,10,2012,2021
1255,Jack Sikma,14,1978,1991
1256,Bobby Simmons,10,2002,2012
1257,James Singleton,5,2006,2012
1258,Jerry Sloan,11,1966,1976
1259,Jack Smiley,2,1949,1950
1260,Al Smith,5,1972,1976
1261,Leon Smith,2,2002,2004
1262,Ron Sobie,4,1957,1960
1263,Everette Stephens,2,1989,1991
1264,Awvee Storey,3,2005,2008
1265,Max Strus,3,2020,2022
1266,Barry Sumpter,1,1989,1989
1267,Don Sunderlage,2,1954,1955
1268,Norm Swanson,1,1954,1954
1269,Keifer Sykes,1,2022,2022
1270,Jay Taylor,1,1990,1990
1271,Mike Taylor,1,2009,2009
1272,Brodric Thomas,2,2021,2022
1273,Isiah Thomas,13,1982,1994
1274,Matt Thomas,3,2020,2022
1275,Skip Thoren,3,1968,1970
1276,Mike Todorovich,2,1950,1951
1277,Andy Toolson,2,1991,1996
1278,Dick Triptow,2,1949,1950
1279,Alando Tucker,3,2008,2010
1280,Evan Turner,10,2011,2020
1281,Kelvin Upshaw,3,1989,1991
1282,Darnell Valentine,9,1982,1991
1283,Gene Vance,5,1948,1952
1284,Fred VanVleet,6,2017,2022
1285,Dwyane Wade,16,2004,2019
1286,Andre Wakefield,2,1979,1980
1287,Antoine Walker,12,1997,2008
1288,Darrell Walker,10,1984,1993
1289,Lloyd Walton,5,1977,1981
