,Player Name,Team (3 Letter),Age,Player Height,Player Weight,Season,Salary
362,Greg Buckner,DAL,23,193.04,95.25432,1999-00,
363,Dale Ellis,CHH,39,200.66,92.98636,1999-00,
364,Jason Kidd,PHX,27,193.04,96.161504,1999-00,6858000.0
365,Jason Caffey,GSW,27,203.2,116.119552,1999-00,3937000.0
366,Jaren Jackson,SAS,32,198.12,102.0582,1999-00,
367,Jamie Feick,NJN,25,203.2,115.66596,1999-00,2000000.0
368,James Posey,DEN,23,203.2,97.52228,1999-00,974000.0
369,Jamal Mashburn,MIA,27,203.2,109.315672,1999-00,5600000.0
370,Jalen Rose,IND,27,203.2,95.25432,1999-00,
371,Jahidi White,WAS,24,205.74,131.54168,1999-00,
372,Jacque Vaughn,UTA,25,185.42,86.18248,1999-00,
373,Eric Murdock,LAC,32,185.42,86.18248,1999-00,
374,JR Reid,MIL,32,205.74,112.037224,1999-00,
375,Ike Austin,WAS,30,208.28,122.46984,1999-00,
376,Hubert Davis,DAL,30,195.58,83.007336,1999-00,
377,Howard Eisley,UTA,27,187.96,81.64656,1999-00,
378,Horace Grant,SEA,34,208.28,111.13004,1999-00,
379,Hersey Hawkins,CHI,33,190.5,90.7184,1999-00,
380,Haywoode Workman,TOR,34,187.96,81.64656,1999-00,
381,Harold Jamison,MIA,23,203.2,117.93392,1999-00,
382,Hakeem Olajuwon,HOU,37,213.36,115.66596,1999-00,
383,Greg Ostertag,UTA,27,218.44,127.00576,1999-00,5200000.0
384,Greg Foster,SEA,31,210.82,113.398,1999-00,857000.0
385,Isaiah Rider,ATL,29,195.58,97.52228,1999-00,
386,Eric Montross,DET,28,213.36,122.46984,1999-00,2000000.0
387,Ira Bowman,PHI,27,195.58,88.45044,1999-00,
388,Elton Brand,CHI,21,203.2,117.93392,1999-00,3375000.0
389,Derek Hood,CHH,23,203.2,104.32616,1999-00,
390,Derek Fisher,LAL,25,185.42,90.7184,1999-00,3000000.0
391,Derek Anderson,LAC,25,195.58,88.45044,1999-00,
392,Dennis Scott,VAN,31,203.2,103.872568,1999-00,
393,Dennis Rodman,DAL,39,200.66,95.25432,1999-00,
394,Dell Curry,TOR,36,195.58,92.98636,1999-00,2100000.0
395,Dee Brown,TOR,31,187.96,92.98636,1999-00,
396,Dedric Willoughby,CHI,26,190.5,81.64656,1999-00,
397,Dean Garrett,MIN,33,210.82,113.398,1999-00,2520000.0
398,DeMarco Johnson,NYK,24,205.74,111.13004,1999-00,
399,Derek Strong,ORL,32,205.74,108.86208,1999-00,3159000.0
400,David Wingate,NYK,36,195.58,83.91452,1999-00,
401,David Robinson,SAS,34,215.9,113.398,1999-00,
402,Darvin Ham,MIL,26,200.66,104.32616,1999-00,
403,Darrick Martin,SAC,29,180.34,77.11064,1999-00,
404,Danny Manning,MIL,34,208.28,110.676448,1999-00,
405,Danny Fortson,BOS,24,200.66,117.93392,1999-00,
406,Danny Ferry,CLE,33,208.28,106.59412,1999-00,
407,Dana Barros,BOS,33,180.34,73.935496,1999-00,
408,Dan Majerle,MIA,34,198.12,100.697424,1999-00,
409,Damon Stoudamire,POR,26,177.8,77.56423199999999,1999-00,10125000.0
410,Emanual Davis,SEA,31,195.58,88.45044,1999-00,
411,David Wesley,CHH,29,185.42,91.625584,1999-00,2520000.0
412,Derrick Coleman,CHH,33,208.28,122.46984,1999-00,7370000.0
413,Darrell Armstrong,ORL,32,185.42,81.64656,1999-00,4125000.0
414,Derrick McKey,IND,33,208.28,109.315672,1999-00,4800000.0
415,Elden Campbell,CHH,31,213.36,115.66596,1999-00,7975000.0
416,Eddie Robinson,CHH,24,205.74,95.25432,1999-00,
417,Eddie Jones,CHH,28,198.12,90.7184,1999-00,
418,Earl Boykins,CLE,24,165.1,60.327736,1999-00,
419,Eldridge Recasner,CHH,32,193.04,86.18248,1999-00,1100000.0
420,Duane Causwell,MIA,32,213.36,115.66596,1999-00,
