Player Name,Season,Salary
Kerry Kittles,2001-02,8166667.0
Chris Dudley,2001-02,7200000.0
Theo Ratliff,2001-02,9667969.0
Matt Geiger,2001-02,8142160.0
Jason Kidd,2001-02,8447500.0
Kenny Anderson,2001-02,8350000.0
Tyrone Hill,2001-02,6600000.0
Clifford Robinson,2001-02,7656250.0
Jamal Mashburn,2001-02,6975000.0
Steve Nash,2001-02,5750000.0
Alan Henderson,2001-02,6500312.0
Donyell Marshall,2001-02,6510000.0
Marcus Camby,2001-02,7300000.0
Greg Ostertag,2001-02,6933328.0
Luc Longley,2001-02,6325000.0
Jermaine O'Neal,2001-02,6325000.0
Erick Dampier,2001-02,6235000.0
Wesley Person,2001-02,6300000.0
Isaac Austin,2001-02,5695715.0
Loy Vaught,2001-02,5222025.0
Derrick McKey,2001-02,6000000.0
Robert Horry,2001-02,5300000.0
Jim McIlvaine,2001-02,6000000.0
Jerry Stackhouse,2001-02,5843750.0
Charlie Ward,2001-02,5110000.0
Dale Davis,2001-02,7010000.0
Lorenzen Wright,2001-02,5500000.0
Mookie Blaylock,2001-02,5400000.0
Chris Mills,2001-02,5400000.0
Chris Childs,2001-02,5200000.0
Darrell Armstrong,2001-02,4005000.0
Bryon Russell,2001-02,5142857.0
Brent Barry,2001-02,4680000.0
Jason Caffey,2001-02,4812500.0
Vitaly Potapenko,2001-02,4762500.0
Bob Sura,2001-02,5213333.0
Walt Williams,2001-02,5000000.0
Scott Williams,2001-02,4650000.0
Sam Cassell,2001-02,4350000.0
Michael Olowokandi,2001-02,4662472.0
Elton Brand,2001-02,3882360.0
Eric Williams,2001-02,4448000.0
Travis Best,2001-02,3375000.0
Michael Stewart,2001-02,3840000.0
Derek Strong,2001-02,3861000.0
Mike Bibby,2001-02,4174893.0
Rick Fox,2001-02,3791250.0
Steve Francis,2001-02,3473520.0
Derek Fisher,2001-02,3000000.0
Eric Snow,2001-02,3750000.0
Ervin Johnson,2001-02,3670929.0
Brent Price,2001-02,3680000.0
Travis Knight,2001-02,3600000.0
Raef LaFrentz,2001-02,3755142.0
Tracy Murray,2001-02,3400000.0
Tyrone Nesby,2001-02,3260000.0
Baron Davis,2001-02,3119400.0
Vonteego Cummings,2001-02,810000.0
David Wesley,2001-02,3240000.0
Dean Garrett,2001-02,3240000.0
Antawn Jamison,2001-02,3388176.0
Walter McCarty,2001-02,3125000.0
Anthony Peeler,2001-02,2978500.0
Lamar Odom,2001-02,2812320.0
Lawrence Funderburke,2001-02,3025000.0
