,player,Year,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
chilcpe01HOU,Pete Chilcutt,1995,PF,26,HOU,68,1347,11.0,.517,.262,.128,9.5,17.1,13.5,7.1,0.9,2.2,15.0,13.6,,0.6,1.4,2.1,.074,,-1.6,-0.6,-2.2,-0.1
childch01NJN,Chris Childs,1995,PG,27,NJN,53,1021,11.2,.495,.448,.262,1.5,5.9,3.7,33.8,2.1,0.2,19.6,16.7,,0.5,0.8,1.2,.058,,-1.9,-0.3,-2.2,-0.1
chrisdo01NYK,Doug Christie,1995,SG,24,NYK,12,79,-3.7,.310,.318,.227,4.6,14.3,9.7,14.6,1.3,1.0,34.9,21.6,,-0.5,0.1,-0.3,-0.202,,-12.9,-0.7,-13.5,-0.2
colemde01NJN,Derrick Coleman,1995,PF,27,NJN,56,2103,19.0,.525,.137,.560,8.7,22.1,15.4,15.8,0.9,3.1,13.6,26.4,,2.4,2.7,5.1,.117,,1.4,0.1,1.5,1.8
colesbi01MIA,Bimbo Coles,1995,PG,26,MIA,68,2207,12.5,.497,.125,.287,2.4,7.9,5.1,27.9,2.3,0.5,18.6,16.8,,1.2,1.6,2.8,.060,,-1.3,-0.2,-1.5,0.3
coltest01CLE,Steve Colter,1995,PG,32,CLE,57,752,11.3,.489,.207,.420,2.1,7.9,4.9,22.3,2.3,0.6,15.2,15.1,,0.4,1.0,1.4,.087,,-2.4,1.5,-1.0,0.2
conloma01MIL,Marty Conlon,1995,C,27,MIL,82,2064,13.6,.556,.045,.300,9.1,16.0,12.4,9.0,1.1,0.6,14.4,18.3,,2.0,1.2,3.1,.073,,-1.2,-1.2,-2.4,-0.2
connele01LAL,Lester Conner,1995,SG,35,LAL,2,5,18.0,1.136,,,0.0,0.0,0.0,0.0,10.1,0.0,0.0,7.6,,0.0,0.0,0.0,.440,,-8.0,12.1,4.1,0.0
corbity01ATL,Tyrone Corbin,1995,SF,32,ATL,81,1389,12.0,.488,.121,.246,8.0,14.1,11.0,8.0,2.1,0.9,12.6,19.2,,0.2,2.0,2.1,.073,,-2.7,0.3,-2.4,-0.1
crottjo01UTA,John Crotty,1995,PG,25,UTA,80,1019,12.2,.519,.156,.524,3.5,8.2,6.0,27.6,2.0,0.5,19.8,15.8,,1.0,1.0,2.1,.097,,-0.8,0.2,-0.6,0.4
crowdco01SAS,Corey Crowder,1995,SF,25,SAS,7,29,-2.5,.237,.400,.600,4.1,7.4,5.9,4.6,1.7,0.0,13.7,22.2,,-0.2,0.0,-0.1,-0.224,,-9.7,-4.5,-14.2,-0.1
cummite01SAS,Terry Cummings,1995,PF,33,SAS,76,1273,13.3,.502,.000,.265,12.9,20.4,16.8,7.3,1.4,1.0,15.5,21.2,,0.1,1.9,2.0,.076,,-3.1,-0.4,-3.4,-0.5
